inference_index,start_us,end_us,duration_us
133,1756272712856574,1756272712867812,11238
134,1756272712868501,1756272712879775,11274
135,1756272712880330,1756272712891567,11237
136,1756272712892059,1756272712903459,11400
137,1756272712903953,1756272712915694,11741
138,1756272712916256,1756272712927586,11330
139,1756272712928183,1756272712939452,11269
140,1756272712939930,1756272712951869,11939
141,1756272712952431,1756272712963950,11519
142,1756272712964504,1756272712975874,11370
143,1756272712976568,1756272712987917,11349
144,1756272712988462,1756272712999771,11309
145,1756272713000330,1756272713011571,11241
146,1756272713012058,1756272713023811,11753
147,1756272713024390,1756272713035646,11256
148,1756272713036188,1756272713047467,11279
149,1756272713047918,1756272713059563,11645
150,1756272713060001,1756272713071440,11439
151,1756272713071889,1756272713083247,11358
152,1756272713083696,1756272713095296,11600
153,1756272713095836,1756272713107245,11409
154,1756272713107749,1756272713119089,11340
155,1756272713119593,1756272713131278,11685
156,1756272713131775,1756272713143191,11416
157,1756272713143673,1756272713155419,11746
158,1756272713155917,1756272713167200,11283
159,1756272713167679,1756272713179268,11589
160,1756272713179760,1756272713191375,11615
161,1756272713191868,1756272713203464,11596
162,1756272713203968,1756272713215792,11824
163,1756272713216482,1756272713228420,11938
164,1756272713228886,1756272713240223,11337
165,1756272713240709,1756272713251964,11255
166,1756272713252678,1756272713264251,11573
167,1756272713264724,1756272713276371,11647
168,1756272713276882,1756272713288479,11597
169,1756272713288966,1756272713300832,11866
170,1756272713301305,1756272713313156,11851
171,1756272713313636,1756272713325624,11988
172,1756272713326147,1756272713338561,12414
173,1756272713339034,1756272713351214,12180
174,1756272713351680,1756272713364224,12544
175,1756272713364756,1756272713377256,12500
176,1756272713377744,1756272713390260,12516
177,1756272713390749,1756272713403213,12464
178,1756272713403697,1756272713416236,12539
179,1756272713416737,1756272713428562,11825
180,1756272713429100,1756272713440860,11760
181,1756272713441368,1756272713453370,12002
182,1756272713453881,1756272713465923,12042
183,1756272713466434,1756272713478373,11939
184,1756272713478866,1756272713491043,12177
185,1756272713491548,1756272713503447,11899
186,1756272713503927,1756272713515801,11874
187,1756272713516494,1756272713528396,11902
188,1756272713528874,1756272713540563,11689
189,1756272713541066,1756272713552569,11503
190,1756272713553020,1756272713564429,11409
191,1756272713564893,1756272713576349,11456
192,1756272713576838,1756272713588487,11649
193,1756272713589067,1756272713600477,11410
194,1756272713600945,1756272713612565,11620
195,1756272713613044,1756272713625241,12197
196,1756272713625720,1756272713637999,12279
197,1756272713638485,1756272713650311,11826
198,1756272713650805,1756272713662910,12105
199,1756272713663391,1756272713675276,11885
