inference_index,duration_us
1,152343
2,130574
3,133504
4,130712
5,134810
6,129294
7,132948
8,129910
9,134333
10,129380
11,135381
12,127408
13,134036
14,130154
15,135497
16,127678
17,133053
18,131083
19,135813
20,130314
21,135726
22,127341
23,134391
24,128854
25,132323
26,130610
27,134684
28,130774
29,135768
30,128507
31,134065
32,129356
33,134750
34,129213
35,133959
36,129469
37,134238
38,130794
39,135670
40,128284
41,133910
42,130478
43,135173
44,130079
45,133773
46,129172
47,134727
48,131002
49,136435
50,128739
51,133602
52,129383
53,135664
54,129348
55,134023
56,130833
57,134842
58,129449
59,132644
60,131057
61,134414
62,130889
63,134717
64,127775
65,134344
66,129327
67,134406
68,128779
69,132861
70,131503
71,134673
72,128073
73,134188
74,129219
75,134278
76,130127
77,137091
78,127562
79,133864
80,131001
81,134509
82,129653
83,133571
84,129285
85,134271
86,127906
87,133587
88,130834
89,135289
90,128181
91,133443
92,129753
93,134858
94,133073
95,136055
96,128881
97,133190
98,129370
99,134658
100,130224
101,133133
102,131083
103,135430
104,129565
105,134863
106,128734
107,134829
108,128892
109,134769
110,129680
111,134028
112,130584
113,134410
114,128716
115,135347
116,127435
117,133292
118,127976
119,133102
120,130926
121,134315
122,129220
123,135301
124,127498
125,133944
126,131328
127,135121
128,127784
129,133531
130,131023
131,135215
132,130036
133,133151
134,129124
135,134848
136,129301
137,132759
138,129638
139,134399
140,128928
141,135739
142,127543
143,134015
144,129389
145,135038
146,128320
147,133676
148,130629
149,135567
150,127677
151,133474
152,129350
153,135372
154,127819
155,133340
156,129639
157,134733
158,128042
159,133563
160,130993
161,134590
162,129181
163,133524
164,131256
165,134660
166,128845
167,135816
168,127611
169,133670
170,129768
171,135709
172,130605
173,133371
174,129357
175,134032
176,129926
177,133404
178,130925
179,134331
180,129428
181,135206
182,131900
183,134768
184,129767
185,134467
186,130174
187,135466
188,127916
189,134382
190,129693
191,134722
192,127776
193,133561
194,132262
195,134385
196,128801
197,133248
198,129564
199,134204
200,128251
201,134329
202,130302
203,134153
204,130267
