name,path,accuracy,profile,is_baseline,latency_p50_ms,latency_p90_ms,latency_mean_ms,latency_std_ms,throughput_ips,backend,ts_csv
EnergyNet_10107_109_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10107_109_225.tflite,0.9218,0_1,False,189.156,190.8478,189.35519211822657,2.6674473540701618,5.286641713717778,CPU,latency_acc_live/EnergyNet_10107_109_225_inference_time.csv
EnergyNet_10119_121_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10119_121_145.tflite,0.6809,0_1,False,1.692,1.8641,1.696781707317073,0.11116962388680574,591.016548463357,CPU,latency_acc_live/EnergyNet_10119_121_145_inference_time.csv
EnergyNet_10155_157_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10155_157_145.tflite,0.767,0_1,False,2.081,2.157,2.093673621460507,0.11649233565739349,480.5382027871216,CPU,latency_acc_live/EnergyNet_10155_157_145_inference_time.csv
EnergyNet_1017_1018_53,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_1017_1018_53.tflite,0.1,0_1,False,0.697,0.722,0.6981084598698482,0.03706548923759033,1434.7202295552368,CPU,latency_acc_live/EnergyNet_1017_1018_53_inference_time.csv
EnergyNet_10192_194_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10192_194_145.tflite,0.6544,0_1,False,2.095,2.221,2.10832905982906,0.16767698472601536,477.326968973747,CPU,latency_acc_live/EnergyNet_10192_194_145_inference_time.csv
EnergyNet_10217_219_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10217_219_145.tflite,0.7705,0_1,False,1.826,1.8717000000000001,1.81171834625323,0.07889197631559805,547.6451259583789,CPU,latency_acc_live/EnergyNet_10217_219_145_inference_time.csv
EnergyNet_10337_339_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10337_339_145.tflite,0.7838,0_1,False,2.883,3.102,2.918079429735234,0.1370752383990614,346.860908775581,CPU,latency_acc_live/EnergyNet_10337_339_145_inference_time.csv
EnergyNet_1039_1040_157,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_1039_1040_157.tflite,0.6875,0_1,False,0.411,0.441,0.4152175414364641,0.042739966630153385,2433.0900243309,CPU,latency_acc_live/EnergyNet_1039_1040_157_inference_time.csv
EnergyNet_10510_49_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10510_49_145.tflite,0.7743,0_1,False,2.584,2.667,2.587774954627949,0.10226241194706022,386.9969040247678,CPU,latency_acc_live/EnergyNet_10510_49_145_inference_time.csv
EnergyNet_10586_125_61,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10586_125_61.tflite,0.1,0_1,False,0.289,0.301,0.2858618438944792,0.03329565196356199,3460.2076124567475,CPU,latency_acc_live/EnergyNet_10586_125_61_inference_time.csv
EnergyNet_10595_134_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10595_134_145.tflite,0.6681,0_1,False,1.454,1.516,1.457855923159018,0.08224985718572406,687.757909215956,CPU,latency_acc_live/EnergyNet_10595_134_145_inference_time.csv
EnergyNet_10630_27_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10630_27_225.tflite,0.8861,0_1,False,36.516,39.4658,36.9106338028169,2.0282224987405293,27.385255778288972,CPU,latency_acc_live/EnergyNet_10630_27_225_inference_time.csv
EnergyNet_10732_129_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10732_129_145.tflite,0.7956,0_1,False,1.865,1.9234,1.8403698811096432,0.09126036926147163,536.1930294906166,CPU,latency_acc_live/EnergyNet_10732_129_145_inference_time.csv
EnergyNet_10760_157_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10760_157_225.tflite,0.8481,0_1,False,61.5065,65.2171,61.9754375,2.2051560811533495,16.25844422947168,CPU,latency_acc_live/EnergyNet_10760_157_225_inference_time.csv
EnergyNet_10794_191_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10794_191_145.tflite,0.7161,0_1,False,0.654,0.7024,0.6635405268490374,0.07934748536382454,1529.051987767584,CPU,latency_acc_live/EnergyNet_10794_191_145_inference_time.csv
EnergyNet_10827_224_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10827_224_145.tflite,0.7876,0_1,False,1.829,1.877,1.8417253613666227,0.11118673901897481,546.7468562055768,CPU,latency_acc_live/EnergyNet_10827_224_145_inference_time.csv
EnergyNet_10940_337_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_10940_337_145.tflite,0.8038,0_1,False,1.579,1.647,1.5829667812142036,0.1644831400596007,633.3122229259025,CPU,latency_acc_live/EnergyNet_10940_337_145_inference_time.csv
EnergyNet_11022_419_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11022_419_145.tflite,0.7689,0_1,False,2.665,2.7584,2.6782163187855788,0.19896261002787735,375.234521575985,CPU,latency_acc_live/EnergyNet_11022_419_145_inference_time.csv
EnergyNet_1106_1107_9,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_1106_1107_9.tflite,0.2434,0_1,False,0.592,0.614,0.5931882629107981,0.029158442890836998,1689.1891891891892,CPU,latency_acc_live/EnergyNet_1106_1107_9_inference_time.csv
EnergyNet_11130_527_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11130_527_145.tflite,0.6617,0_1,False,0.963,1.004,0.9588445747800587,0.05723300276470167,1038.4215991692627,CPU,latency_acc_live/EnergyNet_11130_527_145_inference_time.csv
EnergyNet_11178_575_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11178_575_145.tflite,0.681,0_1,False,0.837,0.873,0.8441957070707071,0.06919947802800637,1194.7431302270013,CPU,latency_acc_live/EnergyNet_11178_575_145_inference_time.csv
EnergyNet_11196_593_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11196_593_225.tflite,0.8841,0_1,False,36.5405,39.6635,36.92392056074766,1.7406684338187852,27.366894268003996,CPU,latency_acc_live/EnergyNet_11196_593_225_inference_time.csv
EnergyNet_11229_626_1,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11229_626_1.tflite,0.2758,0_1,False,0.585,0.608,0.5885290858725761,0.034004777158758416,1709.4017094017095,CPU,latency_acc_live/EnergyNet_11229_626_1_inference_time.csv
EnergyNet_1125_1126_65,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_1125_1126_65.tflite,0.4467,0_1,False,1.529,1.577,1.5414441964285714,0.1014378284796934,654.0222367560498,CPU,latency_acc_live/EnergyNet_1125_1126_65_inference_time.csv
EnergyNet_11298_695_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11298_695_145.tflite,0.6477,0_1,False,1.875,1.9517,1.8745885558583104,0.10852460979751054,533.3333333333334,CPU,latency_acc_live/EnergyNet_11298_695_145_inference_time.csv
EnergyNet_11428_825_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11428_825_145.tflite,0.804,0_1,False,1.886,1.946,1.8784748982360924,0.12787370691204097,530.2226935312832,CPU,latency_acc_live/EnergyNet_11428_825_145_inference_time.csv
EnergyNet_11436_833_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11436_833_145.tflite,0.7226,0_1,False,0.6425000000000001,0.691,0.6458310139165009,0.0693448127406914,1556.420233463035,CPU,latency_acc_live/EnergyNet_11436_833_145_inference_time.csv
EnergyNet_11450_847_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11450_847_145.tflite,0.5981,0_1,False,2.371,2.435,2.3770896785109987,0.07402974486837947,421.76296921130324,CPU,latency_acc_live/EnergyNet_11450_847_145_inference_time.csv
EnergyNet_11471_868_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11471_868_145.tflite,0.801,0_1,False,1.594,1.7936,1.6174528521536669,0.12229615783737334,627.3525721455458,CPU,latency_acc_live/EnergyNet_11471_868_145_inference_time.csv
EnergyNet_11610_1007_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11610_1007_145.tflite,0.6698,0_1,False,1.658,1.7266000000000001,1.6569963636363636,0.10544577229964115,603.1363088057901,CPU,latency_acc_live/EnergyNet_11610_1007_145_inference_time.csv
EnergyNet_11614_1011_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11614_1011_225.tflite,0.8479,0_1,False,373.86400000000003,377.4164,378.42589603960397,53.53548078503856,2.6747694348747135,CPU,latency_acc_live/EnergyNet_11614_1011_225_inference_time.csv
EnergyNet_11629_1026_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11629_1026_145.tflite,0.6515,0_1,False,1.0335,1.1373,1.0525433753943219,0.07135866341326202,967.5858732462506,CPU,latency_acc_live/EnergyNet_11629_1026_145_inference_time.csv
EnergyNet_11661_1058_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11661_1058_145.tflite,0.7461,0_1,False,2.358,2.4294,2.3560820770519264,0.08402957701173608,424.0882103477523,CPU,latency_acc_live/EnergyNet_11661_1058_145_inference_time.csv
EnergyNet_11851_1248_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11851_1248_145.tflite,0.7503,0_1,False,2.393,2.464,2.4051600688468158,0.1624630878961089,417.8854993731718,CPU,latency_acc_live/EnergyNet_11851_1248_145_inference_time.csv
EnergyNet_11876_1273_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11876_1273_145.tflite,0.7695,0_1,False,2.591,2.6705,2.5949142335766426,0.08086147667798296,385.95137012736393,CPU,latency_acc_live/EnergyNet_11876_1273_145_inference_time.csv
EnergyNet_11890_1287_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_11890_1287_145.tflite,0.7595,0_1,False,2.091,2.149,2.087673621460507,0.08925917589536604,478.2400765184122,CPU,latency_acc_live/EnergyNet_11890_1287_145_inference_time.csv
EnergyNet_12134_1531_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12134_1531_145.tflite,0.7615,0_1,False,2.096,2.334,2.0955081967213114,0.1504625540995731,477.09923664122135,CPU,latency_acc_live/EnergyNet_12134_1531_145_inference_time.csv
EnergyNet_12158_1555_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12158_1555_145.tflite,0.778,0_1,False,2.678,2.9208000000000003,2.709700952380952,0.14602093815629782,373.4129947722181,CPU,latency_acc_live/EnergyNet_12158_1555_145_inference_time.csv
EnergyNet_12167_1564_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12167_1564_145.tflite,0.8113,0_1,False,1.918,1.9802,1.9239986282578876,0.08041121166281036,521.376433785193,CPU,latency_acc_live/EnergyNet_12167_1564_145_inference_time.csv
EnergyNet_12167_1564_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12167_1564_225.tflite,0.9141,0_1,False,212.029,214.6066,213.48408866995075,20.382422780329094,4.716335972909366,CPU,latency_acc_live/EnergyNet_12167_1564_225_inference_time.csv
EnergyNet_12186_1583_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12186_1583_145.tflite,0.8043,0_1,False,1.8410000000000002,1.9503000000000001,1.8430923482849606,0.12199044869192882,543.1830526887561,CPU,latency_acc_live/EnergyNet_12186_1583_145_inference_time.csv
EnergyNet_12262_1659_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12262_1659_145.tflite,0.7314,0_1,False,2.6645000000000003,2.8817000000000004,2.6971187739463605,0.25791071339578076,375.3049352598986,CPU,latency_acc_live/EnergyNet_12262_1659_145_inference_time.csv
EnergyNet_12319_1716_225,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12319_1716_225.tflite,0.91,0_1,False,79.08,81.0528,78.38054589371981,2.72192515640539,12.645422357106728,CPU,latency_acc_live/EnergyNet_12319_1716_225_inference_time.csv
EnergyNet_12375_1772_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12375_1772_145.tflite,0.7769,0_1,False,1.7955,1.879,1.7977067183462532,0.09259306670250993,556.947925368978,CPU,latency_acc_live/EnergyNet_12375_1772_145_inference_time.csv
EnergyNet_12400_1797_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12400_1797_145.tflite,0.7379,0_1,False,2.365,2.4141000000000004,2.38165593220339,0.15499321556632287,422.8329809725158,CPU,latency_acc_live/EnergyNet_12400_1797_145_inference_time.csv
EnergyNet_12423_1820_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12423_1820_145.tflite,0.7735,0_1,False,3.754,3.8678,3.7588612565445025,0.1319311224252628,266.3825253063399,CPU,latency_acc_live/EnergyNet_12423_1820_145_inference_time.csv
EnergyNet_12578_1975_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12578_1975_145.tflite,0.6862,0_1,False,1.684,1.7308000000000001,1.6686650660264106,0.08123976011507583,593.8242280285036,CPU,latency_acc_live/EnergyNet_12578_1975_145_inference_time.csv
EnergyNet_12596_1993_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12596_1993_145.tflite,0.6809,0_1,False,1.909,2.1123000000000003,1.935896935933148,0.15046188114812928,523.8344683080146,CPU,latency_acc_live/EnergyNet_12596_1993_145_inference_time.csv
EnergyNet_12608_2005_209,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12608_2005_209.tflite,0.8069,0_1,False,132.4835,135.2668,132.0478676470588,3.0149510559439596,7.548109764612198,CPU,latency_acc_live/EnergyNet_12608_2005_209_inference_time.csv
EnergyNet_12659_2056_145,/home/xiaolong/Downloads/GreenAuto/model_search_results/models/EnergyNet_12659_2056_145.tflite,0.7428,0_1,False,2.657,2.9173999999999998,2.6924857685009482,0.2303740529153999,376.3643206624012,CPU,latency_acc_live/EnergyNet_12659_2056_145_inference_time.csv
