inference_index,duration_us
1,5470
2,3007
3,2843
4,2894
5,2850
6,2854
7,2887
8,2840
9,2982
10,2787
11,2839
12,2882
13,2862
14,2846
15,2867
16,2883
17,2793
18,2831
19,2823
20,2877
21,2822
22,2810
23,2826
24,2838
25,2861
26,2900
27,2850
28,2832
29,2852
30,2829
31,2889
32,2835
33,2829
34,2834
35,2802
36,2816
37,2852
38,2821
39,2794
40,2818
41,2823
42,2802
43,2850
44,2815
45,2835
46,2846
47,2873
48,2911
49,2871
50,2846
51,2873
52,2874
53,2864
54,2893
55,2868
56,2883
57,2863
58,2866
59,2911
60,2879
61,2862
62,2875
63,2869
64,2852
65,2897
66,2878
67,2927
68,2959
69,3032
70,3105
71,3099
72,3068
73,3008
74,3033
75,3053
76,3021
77,3045
78,3011
79,3038
80,3079
81,3023
82,3283
83,3018
84,3035
85,3065
86,3029
87,3022
88,3047
89,3031
90,3113
91,3033
92,3060
93,3064
94,3054
95,3032
96,2995
97,3042
98,3026
99,3060
100,2993
101,3060
102,3269
103,3361
104,3019
105,3003
106,3067
107,3053
108,3046
109,3019
110,3036
111,3073
112,3021
113,3053
114,3055
115,3045
116,3053
117,3053
118,3067
119,3012
120,3105
121,3073
122,3083
123,3048
124,3044
125,3033
126,3066
127,2986
128,3003
129,3287
130,3006
131,3054
132,2980
133,3014
134,3005
135,3065
136,3009
137,3029
138,3061
139,3050
140,3057
141,2987
142,3121
143,3005
144,3038
145,2948
146,2890
147,3026
148,3303
149,3021
150,3007
151,3037
152,3064
153,3080
154,3027
155,3070
156,3081
157,3100
158,3040
159,3041
160,3096
161,3038
162,3099
163,3085
164,3022
165,3161
166,3115
167,3126
168,3151
169,3110
170,3067
171,3097
172,3144
173,3061
174,3056
175,3072
176,3040
177,3098
178,3051
179,3052
180,3146
181,3035
182,3081
183,3096
184,3077
185,3048
186,3099
187,3042
188,3056
189,3048
190,3060
191,3101
192,3065
193,3029
194,3055
195,3060
196,3080
197,3053
198,3085
199,3039
200,3052
201,3324
202,3071
203,3066
204,3057
205,3038
206,3122
207,3095
208,3111
209,3104
210,3042
211,3070
212,3067
213,3047
214,3066
215,3121
216,3068
217,3058
218,3087
219,3062
220,3145
221,3065
222,3026
223,3040
224,3059
225,3082
226,3057
227,3066
228,3057
229,3064
230,3111
231,3081
232,3086
233,3070
234,3066
235,3105
236,3044
237,3059
238,3066
239,3025
240,3077
241,3079
242,3053
243,3042
244,3085
245,3038
246,3080
247,3128
248,3045
249,3113
250,3028
251,3241
252,3056
253,3057
254,3092
255,3104
256,3039
257,3039
258,3091
259,3109
260,3079
261,3116
262,3055
263,3023
264,3132
265,3076
266,3100
267,3088
268,3056
269,3079
270,3084
271,3083
272,3056
273,3119
274,3048
275,3061
276,3060
277,3086
278,3183
279,3176
280,3064
281,3042
282,3057
283,3113
284,3080
285,3101
286,2996
287,2918
288,3042
289,3066
290,3067
291,3025
292,3036
293,3108
294,3051
295,3074
296,3056
297,3024
298,3082
299,3052
300,3053
301,3045
302,3028
303,3048
304,3049
305,3053
306,3066
307,3106
308,3034
309,3108
310,3091
311,3084
312,3106
313,3066
314,3058
315,3070
316,3090
317,3103
318,3045
319,3049
320,3035
321,3039
322,3080
323,3059
324,3066
325,3037
326,3033
327,3115
328,3087
329,3074
330,3086
331,3030
332,3084
333,3055
334,3056
335,3055
336,3060
337,3047
338,3047
339,3056
340,3058
341,3106
342,3034
343,3065
344,3069
345,3068
346,3093
347,3096
348,3040
349,3077
350,3055
351,3084
352,3071
353,3039
354,3058
355,3096
356,3115
357,3052
358,3114
359,3044
360,3039
361,3088
362,3116
363,3069
364,3059
365,3048
366,3096
367,3054
368,3076
369,3041
370,3105
371,3028
372,3059
373,3050
374,3105
375,3130
376,3037
377,3072
378,3089
379,3061
380,3114
381,3038
382,3047
383,3042
384,3051
385,3097
386,3068
387,3070
388,3037
389,3047
390,3099
391,3052
392,3253
393,3089
394,3046
395,3087
396,3291
397,3045
398,3058
399,3120
400,3038
401,3110
402,3068
403,3068
404,3096
405,3124
406,3032
407,3058
408,3073
409,3089
410,3152
411,3034
412,3033
413,3049
414,3082
415,3062
416,3074
417,3083
418,3048
419,3108
420,3074
421,3059
422,3058
423,3025
424,3088
425,3069
426,3055
427,3054
428,3303
429,3041
430,3060
431,3043
432,3077
433,3112
434,3034
435,3031
436,3089
437,3054
438,3088
439,3191
440,3062
441,3059
442,3084
443,3077
444,3049
445,3069
446,3030
447,3049
448,3086
449,3052
450,3060
451,3024
452,3031
453,3134
454,3057
455,3085
456,3090
457,3068
458,3034
459,3079
460,3329
461,3069
462,3097
463,3081
464,3032
465,3082
466,3077
467,3104
