inference_index,duration_us
1,2924
2,1217
3,986
4,1107
5,984
6,984
7,981
8,976
9,958
10,976
11,951
12,970
13,931
14,899
15,930
16,912
17,830
18,852
19,837
20,917
21,839
22,839
23,849
24,830
25,800
26,838
27,804
28,761
29,806
30,786
31,768
32,763
33,788
34,780
35,763
36,803
37,765
38,782
39,821
40,758
41,751
42,802
43,777
44,760
45,781
46,755
47,758
48,802
49,760
50,795
51,771
52,773
53,781
54,751
55,762
56,779
57,762
58,811
59,757
60,779
61,776
62,807
63,758
64,776
65,817
66,818
67,869
68,817
69,813
70,822
71,827
72,875
73,836
74,824
75,841
76,887
77,886
78,838
79,866
80,847
81,816
82,881
83,836
84,856
85,897
86,821
87,862
88,827
89,843
90,830
91,846
92,872
93,867
94,922
95,858
96,858
97,818
98,838
99,823
100,821
101,864
102,818
103,830
104,827
105,855
106,844
107,850
108,829
109,844
110,824
111,907
112,851
113,839
114,842
115,835
116,1285
117,822
118,820
119,847
120,890
121,820
122,847
123,822
124,870
125,816
126,813
127,823
128,825
129,872
130,825
131,824
132,821
133,785
134,768
135,770
136,809
137,771
138,805
139,766
140,786
141,784
142,787
143,811
144,977
145,805
146,758
147,833
148,802
149,803
150,806
151,803
152,812
153,765
154,788
155,790
156,770
157,781
158,780
159,768
160,782
161,786
162,786
163,770
164,789
165,788
166,837
167,764
168,803
169,780
170,762
171,787
172,767
173,765
174,770
175,769
176,776
177,763
178,762
179,790
180,767
181,780
182,769
183,766
184,768
185,772
186,831
187,764
188,764
189,767
190,761
191,779
192,767
193,767
194,767
195,763
196,780
197,779
198,785
199,768
200,758
201,762
202,788
203,792
204,808
205,834
206,964
207,786
208,812
209,812
210,853
211,845
212,867
213,849
214,873
215,825
216,819
217,829
218,826
219,836
220,823
221,828
222,817
223,865
224,821
225,846
226,825
227,798
228,781
229,766
230,815
231,865
232,857
233,833
234,837
235,850
236,848
237,832
238,820
239,837
240,819
241,898
242,822
243,859
244,843
245,864
246,826
247,820
248,821
249,826
250,842
251,809
252,1071
253,820
254,851
255,829
256,826
257,821
258,820
259,873
260,828
261,835
262,828
263,841
264,823
265,826
266,834
267,824
268,1082
269,832
270,823
271,822
272,830
273,1019
274,826
275,832
276,824
277,855
278,831
279,818
280,838
281,870
282,817
283,845
284,820
285,842
286,838
287,825
288,842
289,813
290,839
291,828
292,851
293,842
294,818
295,869
296,821
297,822
298,801
299,818
300,764
301,788
302,785
303,788
304,798
305,763
306,783
307,782
308,762
309,796
310,760
311,788
312,810
313,763
314,904
315,781
316,822
317,843
318,846
319,808
320,827
321,818
322,824
323,843
324,827
325,818
326,844
327,845
328,820
329,825
330,828
331,822
332,859
333,1078
334,835
335,819
336,840
337,821
338,826
339,829
340,814
341,829
342,822
343,817
344,818
345,833
346,825
347,817
348,823
349,818
350,1108
351,825
352,825
353,821
354,843
355,1012
356,813
357,821
358,819
359,833
360,816
361,826
362,835
363,840
364,830
365,813
366,848
367,822
368,870
369,820
370,817
371,826
372,830
373,825
374,826
375,820
376,820
377,840
378,831
379,821
380,827
381,854
382,834
383,833
384,871
385,813
386,864
387,819
388,840
389,822
390,842
391,827
392,846
393,846
394,839
395,863
396,826
397,822
398,831
399,835
400,818
401,824
402,1175
403,818
404,856
405,816
406,819
407,816
408,845
409,816
410,814
411,822
412,820
413,833
414,821
415,809
416,815
417,830
418,1017
419,817
420,810
421,811
422,866
423,823
424,826
425,832
426,838
427,826
428,827
429,818
430,822
431,835
432,823
433,830
434,818
435,819
436,842
437,814
438,830
439,815
440,871
441,830
442,824
443,825
444,823
445,839
446,840
447,817
448,817
449,840
450,819
451,813
452,829
453,828
454,855
455,820
456,821
457,823
458,810
459,830
460,819
461,807
462,823
463,827
464,811
465,827
466,834
467,819
468,832
469,838
470,829
471,829
472,842
473,816
474,822
475,828
476,766
477,892
478,787
479,821
480,852
481,839
482,819
483,824
484,829
485,856
486,841
487,815
488,817
489,840
490,856
491,827
492,870
493,809
494,820
495,893
496,859
497,843
498,815
499,859
500,821
501,815
502,820
503,821
504,839
505,823
506,1055
507,824
508,847
509,822
510,820
511,824
512,825
513,866
514,817
515,821
516,822
517,837
518,823
519,818
520,816
521,823
522,1166
523,825
524,817
525,821
526,836
527,1011
528,820
529,829
530,814
531,854
532,811
533,843
534,825
535,843
536,819
537,817
538,824
539,823
540,850
541,822
542,827
543,823
544,830
545,819
546,829
547,818
548,825
549,881
550,808
551,824
552,819
553,833
554,815
555,828
556,819
557,825
558,835
559,821
560,820
561,821
562,856
563,817
564,824
565,821
566,840
567,908
568,859
569,842
570,847
571,854
572,850
573,827
574,834
575,854
576,841
577,843
578,845
579,859
580,846
581,839
582,855
583,885
584,855
585,837
586,859
587,864
588,837
589,831
590,832
591,854
592,841
593,841
594,1195
595,856
596,838
597,853
598,838
599,895
600,835
601,836
602,838
603,853
604,827
605,833
606,837
607,865
608,848
609,832
610,832
611,852
612,839
613,835
614,838
615,829
616,831
617,831
618,835
619,849
620,842
621,835
622,838
623,829
624,850
625,831
626,842
627,836
628,857
629,833
630,838
631,843
632,880
633,830
634,825
