inference_index,start_us,end_us,duration_us
0,1756255121807412,1756255121833653,26241
1,1756255121833715,1756255121857481,23766
2,1756255121857526,1756255121881098,23572
3,1756255121881138,1756255121905037,23899
4,1756255121905078,1756255121929178,24100
5,1756255121929233,1756255121953706,24473
6,1756255121953851,1756255121978033,24182
7,1756255121978246,1756255122003457,25211
8,1756255122003658,1756255122028962,25304
9,1756255122029156,1756255122054585,25429
10,1756255122054787,1756255122080070,25283
11,1756255122080251,1756255122104792,24541
12,1756255122104962,1756255122131758,26796
13,1756255122131955,1756255122156530,24575
14,1756255122156690,1756255122180816,24126
15,1756255122180972,1756255122206213,25241
16,1756255122206452,1756255122231677,25225
17,1756255122231880,1756255122257155,25275
18,1756255122257344,1756255122282563,25219
19,1756255122282760,1756255122308014,25254
0,1756255122308379,1756255122333827,25448
1,1756255122334699,1756255122359933,25234
2,1756255122360440,1756255122385855,25415
3,1756255122386379,1756255122411294,24915
4,1756255122411789,1756255122437177,25388
5,1756255122437760,1756255122462949,25189
6,1756255122463521,1756255122489064,25543
7,1756255122489632,1756255122515072,25440
8,1756255122515562,1756255122540627,25065
9,1756255122541156,1756255122566122,24966
10,1756255122566641,1756255122591761,25120
11,1756255122592254,1756255122617296,25042
12,1756255122617866,1756255122643925,26059
13,1756255122644466,1756255122669696,25230
14,1756255122670232,1756255122695870,25638
15,1756255122696413,1756255122721444,25031
16,1756255122721980,1756255122747099,25119
17,1756255122747604,1756255122773187,25583
18,1756255122773724,1756255122799441,25717
19,1756255122799967,1756255122825550,25583
20,1756255122826050,1756255122851100,25050
21,1756255122851615,1756255122877222,25607
22,1756255122877731,1756255122903266,25535
23,1756255122903789,1756255122929464,25675
24,1756255122930002,1756255122955386,25384
25,1756255122955908,1756255122980880,24972
26,1756255122981366,1756255123006390,25024
27,1756255123006866,1756255123031648,24782
28,1756255123032151,1756255123057440,25289
29,1756255123057970,1756255123083098,25128
30,1756255123083570,1756255123108670,25100
31,1756255123109186,1756255123134197,25011
32,1756255123134683,1756255123159632,24949
33,1756255123160128,1756255123185162,25034
34,1756255123185685,1756255123210665,24980
35,1756255123211132,1756255123235975,24843
36,1756255123236467,1756255123261467,25000
37,1756255123261949,1756255123286887,24938
38,1756255123287372,1756255123312406,25034
39,1756255123312879,1756255123337850,24971
40,1756255123338367,1756255123363220,24853
41,1756255123363685,1756255123388647,24962
42,1756255123389126,1756255123414048,24922
43,1756255123414543,1756255123439477,24934
44,1756255123439966,1756255123464857,24891
45,1756255123465309,1756255123490334,25025
46,1756255123490854,1756255123515748,24894
47,1756255123516234,1756255123541240,25006
48,1756255123541698,1756255123566364,24666
49,1756255123566789,1756255123591020,24231
50,1756255123591440,1756255123615808,24368
51,1756255123616181,1756255123640759,24578
52,1756255123641207,1756255123666949,25742
53,1756255123667419,1756255123693089,25670
54,1756255123693544,1756255123719000,25456
55,1756255123719463,1756255123744877,25414
56,1756255123745341,1756255123770653,25312
57,1756255123771125,1756255123796527,25402
58,1756255123797023,1756255123822201,25178
59,1756255123822733,1756255123848180,25447
60,1756255123848678,1756255123874290,25612
61,1756255123874782,1756255123899762,24980
62,1756255123900249,1756255123925284,25035
63,1756255123925775,1756255123950816,25041
64,1756255123951295,1756255123976731,25436
