inference_index,start_us,end_us,duration_us
70,1756255165636918,1756255165641829,4911
71,1756255165642115,1756255165646675,4560
72,1756255165646932,1756255165651428,4496
73,1756255165651679,1756255165655996,4317
74,1756255165656230,1756255165661159,4929
75,1756255165661404,1756255165666205,4801
76,1756255165666457,1756255165671211,4754
77,1756255165671464,1756255165676151,4687
78,1756255165676409,1756255165681241,4832
79,1756255165681492,1756255165686516,5024
80,1756255165686756,1756255165691440,4684
81,1756255165691680,1756255165696316,4636
82,1756255165696557,1756255165701362,4805
83,1756255165701600,1756255165706518,4918
84,1756255165706751,1756255165711577,4826
85,1756255165711811,1756255165716585,4774
86,1756255165716817,1756255165722386,5569
87,1756255165722675,1756255165727547,4872
88,1756255165727782,1756255165732489,4707
89,1756255165732727,1756255165737517,4790
90,1756255165737749,1756255165742419,4670
91,1756255165742652,1756255165747270,4618
92,1756255165747508,1756255165752221,4713
93,1756255165752460,1756255165757511,5051
94,1756255165757744,1756255165762385,4641
95,1756255165762618,1756255165767211,4593
96,1756255165767444,1756255165772099,4655
97,1756255165772330,1756255165777058,4728
98,1756255165777292,1756255165781959,4667
99,1756255165782225,1756255165787033,4808
100,1756255165787274,1756255165792015,4741
101,1756255165792268,1756255165797161,4893
102,1756255165797405,1756255165802490,5085
103,1756255165802732,1756255165807571,4839
104,1756255165807817,1756255165812671,4854
105,1756255165812911,1756255165818668,5757
106,1756255165818936,1756255165823473,4537
107,1756255165823713,1756255165828289,4576
108,1756255165828523,1756255165833658,5135
109,1756255165833887,1756255165838827,4940
110,1756255165839068,1756255165843947,4879
111,1756255165844185,1756255165849013,4828
112,1756255165849252,1756255165854250,4998
113,1756255165854485,1756255165859165,4680
114,1756255165859405,1756255165864057,4652
115,1756255165864295,1756255165869006,4711
116,1756255165869242,1756255165874175,4933
117,1756255165874413,1756255165879478,5065
118,1756255165879708,1756255165884485,4777
119,1756255165884719,1756255165889626,4907
120,1756255165889872,1756255165894266,4394
121,1756255165894509,1756255165898948,4439
122,1756255165899191,1756255165903734,4543
123,1756255165903986,1756255165908580,4594
124,1756255165908828,1756255165913821,4993
125,1756255165914106,1756255165918750,4644
126,1756255165918995,1756255165923890,4895
127,1756255165924135,1756255165928993,4858
